Adam Sandler
Al Pacino
Alan Rickman
Alec Baldwin
Anthony Hopkins
Antonio Banderas
Arnold Schwarzenegger
Ben Affleck
Ben Stiller
Benjamin Bratt
Bill Murray
Bill Paxton
Bill Pullman
Billy Dee Williams
Billy Zane
Brad Pitt
Bradley Cooper
Brendan Fraser
Bruce Willis
Channing Tatum
Chris O'Donnell
Chris Rock
Christian Bale
Christian Slater
Christopher Lee
Christopher Lloyd
Christopher Walken
Clint Eastwood
Colin Farrell
Colin Firth
Cuba Gooding Jr.
Dan Aykroyd
Daniel Craig
Daniel Radcliffe
Daniel Stern
Danny DeVito
Danny Glover
David Cross
Dennis Quaid
Denzel Washington
Don Cheadle
Dustin Hoffman
Dwayne Johnson
Ed Harris
Eddie Murphy
Elijah Wood
Eric Bana
Ewan McGregor
Gabriel Byrne
Gary Oldman
Gary Sinise
Gene Hackman
Geoffrey Rush
George Clooney
Harrison Ford
Hugh Grant
Hugh Jackman
Hugo Weaving
Ian McKellen
Jack Black
Jack Nicholson
Jackie Chan
Jake Gyllenhaal
James Earl Jones
James Franco
Jamie Foxx
Jason Bateman
Jason Statham
Jeff Daniels
Jeff Goldblum
Jeremy Irons
Jim Carrey
Joaquin Phoenix
Joe Pesci
John Cusack
John Malkovich
John Travolta
Johnny Depp
Jon Favreau
Jon Voight
Jonah Hill
Josh Hartnett
Jude Law
Judge Reinhold
Keanu Reeves
Kevin Bacon
Kevin Costner
Kevin Spacey
Kurt Russell
Laurence Fishburne
Leonardo DiCaprio
Liam Neeson
Macaulay Culkin
Mark Hamill
Mark Wahlberg
Matt Damon
Matthew Broderick
Matthew McConaughey
Mel Gibson
Michael Caine
Michael Clarke Duncan
Michael Douglas
Michael J. Fox
Michael Keaton
Mike Myers
Morgan Freeman
Nicolas Cage
Orlando Bloom
Owen Wilson
Patrick Stewart
Paul Rudd
Pierce Brosnan
Ralph Fiennes
Richard Dreyfuss
Richard Gere
Rick Moranis
Robert De Niro
Robert Downey Jr.
Robert Pattinson
Robin Williams
Rupert Everett
Russell Crowe
Ryan Gosling
Ryan Reynolds
Sam Worthington
Samuel L Jackson
Sean Astin
Sean Bean
Sean Connery
Seth Rogen
Shia LaBeouf
Steve Buscemi
Steve Carell
Steve Martin
Sylvester Stallone
Tim Allen
Tobey Maguire
Tom Cruise
Tom Hanks
Tommy Lee Jones
Val Kilmer
Viggo Mortensen
Vin Diesel
Vince Vaughn
Will Ferrell
Will Smith
Willem Dafoe
Woody Allen
Woody Harrelson
