Christopher Nolan
Clint Eastwood
David Fincher
Francis ord Coppola
Garry Marshall
George Lucas
Guillermo del Toro
Hayao Miyazaki 
Ivan Reitman
J.J. Abrams
James Cameron
Joel Coen
Joel Schumacher
John Lasseter
Luc Besson
M. Night Shyamalan
Martin Scorsese
Mel Gibson
Michael Bay
Oliver Stone
Peter Jackson
Peter Segal
Quentin Tarantino
Ridley Scott
Robert Zemeckis
Robert Zemeckis 
Ron Howard
Sam Raimi
Stanley Kubric
Steven Soderbergh
Steven Spielberg
Sylvester Stallone 
The Wachowskis
Tim Burton
Tim Burton 
Werner Herzog
Zack Snyder
